Name,Space,Color,Position,Price,PriceBuild,Rent,RentBuild1,RentBuild2,RentBuild3,RentBuild4,RentBuild5,Number
<class 'str'>,Go,,0,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Brown,1,60,50,2,10,30,90,160,250,2
<class 'str'>,Chest,,2,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Brown,3,60,50,4,20,60,180,320,450,2
<class 'str'>,Tax,,4,200,0,200,0,0,0,0,0,0
<class 'str'>,Railroad,,5,200,0,25,0,0,0,0,0,0
<class 'str'>,Property,LightBlue,6,100,50,6,30,90,270,400,550,3
<class 'str'>,Chance,,7,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,LightBlue,8,100,50,6,30,90,270,400,550,3
<class 'str'>,Property,LightBlue,9,120,50,8,40,100,300,450,600,3
<class 'str'>,Jail,,10,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Pink,11,140,100,10,50,150,450,625,750,3
<class 'str'>,Utility,,12,150,0,4,0,0,0,0,0,0
<class 'str'>,Property,Pink,13,140,100,10,50,150,450,625,750,3
<class 'str'>,Property,Pink,14,160,100,12,60,180,500,700,900,3
<class 'str'>,Railroad,,15,200,0,25,0,0,0,0,0,0
<class 'str'>,Property,Orange,16,180,100,14,70,200,550,750,950,3
<class 'str'>,Chest,,17,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Orange,18,180,100,14,70,200,550,750,950,3
<class 'str'>,Property,Orange,19,200,100,16,80,220,600,800,1000,3
<class 'str'>,Parking,,20,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Red,21,220,150,18,90,250,700,875,1050,3
<class 'str'>,Chance,,22,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Red,23,220,150,18,90,250,700,875,1050,3
<class 'str'>,Property,Red,24,240,150,20,100,300,750,925,1100,3
<class 'str'>,Railroad,,25,200,0,25,0,0,0,0,0,0
<class 'str'>,Property,Yellow,26,260,150,22,110,330,800,975,1150,3
<class 'str'>,Property,Yellow,27,260,150,22,110,330,800,975,1150,3
<class 'str'>,Utility,,28,150,0,4,0,0,0,0,0,0
<class 'str'>,Property,Yellow,29,280,150,24,120,360,850,1025,1200,3
<class 'str'>,GoToJail,,30,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Green,31,300,200,26,130,390,900,1100,1275,3
<class 'str'>,Property,Green,32,300,200,26,130,390,900,1100,1275,3
<class 'str'>,Chest,,33,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Green,34,320,200,28,150,450,1000,1200,1400,3
<class 'str'>,Railroad,,35,200,0,25,0,0,0,0,0,0
<class 'str'>,Chance,,36,0,0,0,0,0,0,0,0,0
<class 'str'>,Property,Blue,37,350,200,35,175,500,1100,1300,1500,2
<class 'str'>,Tax,,38,100,0,75,0,0,0,0,0,0
<class 'str'>,Property,Blue,39,400,200,50,200,600,1400,1700,2000,2
